candidate_id,smiles,provenance,canonical_smiles,contract_valid,rejection_reasons,ad_max_morgan_tanimoto,ad_status
enum-050000,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(COC)cc(c1ccsc1)c2,deterministic-enumeration,COCc1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(-c2ccsc2)c1,true,,0.403226,in_domain
enum-050001,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(COC)cc(C(=O)N)c2,deterministic-enumeration,COCc1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C(N)=O)c1,true,,0.370968,in_domain
enum-050002,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(COC)cc(C(C)O)c2,deterministic-enumeration,COCc1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C(C)O)c1,true,,0.396552,in_domain
enum-050003,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(COC)cc(C(C)F)c2,deterministic-enumeration,COCc1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C(C)F)c1,true,,0.396552,in_domain
enum-050004,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(COC)cc(C(C)Cl)c2,deterministic-enumeration,COCc1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C(C)Cl)c1,true,,0.425926,in_domain
enum-050005,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(COC)cc(C(C)Br)c2,deterministic-enumeration,COCc1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C(C)Br)c1,true,,0.396552,in_domain
enum-050006,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(COC)cc(C(C)C#N)c2,deterministic-enumeration,COCc1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C(C)C#N)c1,true,,0.377049,in_domain
enum-050032,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(CCO)cc(CCO)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(CCO)cc(CCO)c2)c(N=[N+]=[N-])c1,true,,0.460000,in_domain
enum-050033,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(CCO)cc(C(C)C)c2,deterministic-enumeration,CC(C)c1cc(CCO)cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])c1,true,,0.425926,in_domain
enum-050034,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(CCO)cc(C(C)(C)C)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(CCO)cc(C(C)(C)C)c2)c(N=[N+]=[N-])c1,true,,0.456140,in_domain
