candidate_id,smiles,provenance,canonical_smiles,contract_valid,rejection_reasons,ad_max_morgan_tanimoto,ad_status,ee_prediction_development,ee_model_status,acquisition_rank,acquisition_objective
rnn-1101-00057,[N-]=[N+]=Nc1ccccc1CCc1ccc(C(OC)=O)cc1,smiles-rnn-promptsmiles,COC(=O)c1ccc(CCc2ccccc2N=[N+]=[N-])cc1,true,,0.659091,in_domain,83.3021,frozen_development_ridge_not_prospective_truth,1,predicted_ee_descending
rnn-4404-07513,[N-]=[N+]=Nc1ccccc1CCc1ccc(O)cc1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCc1ccc(O)cc1,true,,0.757576,in_domain,82.7366,frozen_development_ridge_not_prospective_truth,2,predicted_ee_descending
rnn-5505-08915,[N-]=[N+]=Nc1ccccc1CCc1cccc(O)c1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCc1cccc(O)c1,true,,0.700000,in_domain,81.3699,frozen_development_ridge_not_prospective_truth,3,predicted_ee_descending
rnn-4404-05903,[N-]=[N+]=Nc1ccccc1CCOC(NCc1ccc(C)cc1)=O,smiles-rnn-promptsmiles,Cc1ccc(CNC(=O)OCCc2ccccc2N=[N+]=[N-])cc1,true,,0.595745,in_domain,78.1930,frozen_development_ridge_not_prospective_truth,4,predicted_ee_descending
rnn-2202-08414,[N-]=[N+]=Nc1ccccc1CCc1cc(OC(N(C)C)=O)cc(C(=O)O)c1,smiles-rnn-promptsmiles,CN(C)C(=O)Oc1cc(CCc2ccccc2N=[N+]=[N-])cc(C(=O)O)c1,true,,0.518519,in_domain,77.9428,frozen_development_ridge_not_prospective_truth,5,predicted_ee_descending
rnn-1101-03461,[N-]=[N+]=Nc1ccccc1CCc1ccccc1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCc1ccccc1,true,,1.000000,in_domain,77.8171,frozen_development_ridge_not_prospective_truth,6,predicted_ee_descending
rnn-2202-01263,[N-]=[N+]=Nc1ccccc1CCc1ccncc1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCc1ccncc1,true,,0.757576,in_domain,77.6354,frozen_development_ridge_not_prospective_truth,7,predicted_ee_descending
rnn-1101-07965,[N-]=[N+]=Nc1ccccc1CCc1cnccc1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCc1cccnc1,true,,0.694444,in_domain,76.1076,frozen_development_ridge_not_prospective_truth,8,predicted_ee_descending
rnn-1101-09375,[N-]=[N+]=Nc1ccccc1CCC(Nc1sc2cc(CN3CCN(C)CC3)ccc2n1)=O,smiles-rnn-promptsmiles,CN1CCN(Cc2ccc3nc(NC(=O)CCc4ccccc4N=[N+]=[N-])sc3c2)CC1,true,,0.426471,in_domain,73.4247,frozen_development_ridge_not_prospective_truth,9,predicted_ee_descending
rnn-2202-09427,[N-]=[N+]=Nc1ccccc1CCc1c(C)n(-c2nc3sccn3c(=O)c2)c(C)n1,smiles-rnn-promptsmiles,Cc1nc(CCc2ccccc2N=[N+]=[N-])c(C)n1-c1cc(=O)n2ccsc2n1,true,,0.406780,in_domain,72.6813,frozen_development_ridge_not_prospective_truth,10,predicted_ee_descending
rnn-4404-03450,[N-]=[N+]=Nc1ccccc1CCC1=Nc2c(cc(OC)cc2)NC1=O,smiles-rnn-promptsmiles,COc1ccc2nc(CCc3ccccc3N=[N+]=[N-])c(=O)[nH]c2c1,true,,0.527273,in_domain,72.0416,frozen_development_ridge_not_prospective_truth,11,predicted_ee_descending
rnn-5505-02448,[N-]=[N+]=Nc1ccccc1CCC1=N[N+]([O-])(c2ccc(OC)cc2)Oc2c1cc(O)cc2,smiles-rnn-promptsmiles,COc1ccc([N+]2([O-])N=C(CCc3ccccc3N=[N+]=[N-])c3cc(O)ccc3O2)cc1,true,,0.476190,in_domain,71.1442,frozen_development_ridge_not_prospective_truth,12,predicted_ee_descending
rnn-4404-03337,[N-]=[N+]=Nc1ccccc1CCC(=O)N1CCN(C(c2occc2)=O)CC1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCC(=O)N1CCN(C(=O)c2ccco2)CC1,true,,0.490566,in_domain,70.6137,frozen_development_ridge_not_prospective_truth,13,predicted_ee_descending
rnn-5505-06590,[N-]=[N+]=Nc1ccccc1C1NC(CCc2ccccc2)=NC1N,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1C1NC(CCc2ccccc2)=NC1N,true,,0.468085,in_domain,70.3002,frozen_development_ridge_not_prospective_truth,14,predicted_ee_descending
rnn-5505-00686,[N-]=[N+]=Nc1ccccc1CCc1c(OC)ccc(OC)c1,smiles-rnn-promptsmiles,COc1ccc(OC)c(CCc2ccccc2N=[N+]=[N-])c1,true,,0.690476,in_domain,69.4021,frozen_development_ridge_not_prospective_truth,15,predicted_ee_descending
rnn-3303-05111,[N-]=[N+]=Nc1ccccc1CCC(N(C)C)=O,smiles-rnn-promptsmiles,CN(C)C(=O)CCc1ccccc1N=[N+]=[N-],true,,1.000000,in_domain,69.3231,frozen_development_ridge_not_prospective_truth,16,predicted_ee_descending
