candidate_id,smiles,provenance,canonical_smiles,contract_valid,rejection_reasons
enum-000000,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(C)c2,deterministic-enumeration,Cc1cc(C)cc(CCc2ccc(C)cc2N=[N+]=[N-])c1,true,
enum-000001,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(CC)c2,deterministic-enumeration,CCc1cc(C)cc(CCc2ccc(C)cc2N=[N+]=[N-])c1,true,
enum-000002,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(CCC)c2,deterministic-enumeration,CCCc1cc(C)cc(CCc2ccc(C)cc2N=[N+]=[N-])c1,true,
enum-000003,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(CO)c2,deterministic-enumeration,Cc1cc(CO)cc(CCc2ccc(C)cc2N=[N+]=[N-])c1,true,
enum-000004,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(OC)c2,deterministic-enumeration,COc1cc(C)cc(CCc2ccc(C)cc2N=[N+]=[N-])c1,true,
enum-000005,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(F)c2,deterministic-enumeration,Cc1cc(F)cc(CCc2ccc(C)cc2N=[N+]=[N-])c1,true,
enum-000006,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(Cl)c2,deterministic-enumeration,Cc1cc(Cl)cc(CCc2ccc(C)cc2N=[N+]=[N-])c1,true,
enum-000007,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(Br)c2,deterministic-enumeration,Cc1cc(Br)cc(CCc2ccc(C)cc2N=[N+]=[N-])c1,true,
enum-000008,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(C(F)(F)F)c2,deterministic-enumeration,Cc1cc(CCc2ccc(C)cc2N=[N+]=[N-])cc(C(F)(F)F)c1,true,
enum-000009,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(C#N)c2,deterministic-enumeration,Cc1cc(C#N)cc(CCc2ccc(C)cc2N=[N+]=[N-])c1,true,
enum-000010,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(C(=O)C)c2,deterministic-enumeration,CC(=O)c1cc(C)cc(CCc2ccc(C)cc2N=[N+]=[N-])c1,true,
enum-000011,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(C(=O)OC)c2,deterministic-enumeration,COC(=O)c1cc(C)cc(CCc2ccc(C)cc2N=[N+]=[N-])c1,true,
enum-000012,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(c1ccccc1)c2,deterministic-enumeration,Cc1cc(CCc2ccc(C)cc2N=[N+]=[N-])cc(-c2ccccc2)c1,true,
enum-000013,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(c1ccc(F)cc1)c2,deterministic-enumeration,Cc1cc(CCc2ccc(C)cc2N=[N+]=[N-])cc(-c2ccc(F)cc2)c1,true,
enum-000014,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(c1ccc(Cl)cc1)c2,deterministic-enumeration,Cc1cc(CCc2ccc(C)cc2N=[N+]=[N-])cc(-c2ccc(Cl)cc2)c1,true,
enum-000015,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(c1ccccc1C)c2,deterministic-enumeration,Cc1cc(CCc2ccc(C)cc2N=[N+]=[N-])cc(-c2ccccc2C)c1,true,
enum-000016,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(C1CCCCC1)c2,deterministic-enumeration,Cc1cc(CCc2ccc(C)cc2N=[N+]=[N-])cc(C2CCCCC2)c1,true,
enum-000017,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(C1CC1)c2,deterministic-enumeration,Cc1cc(CCc2ccc(C)cc2N=[N+]=[N-])cc(C2CC2)c1,true,
enum-000018,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(C=C)c2,deterministic-enumeration,C=Cc1cc(C)cc(CCc2ccc(C)cc2N=[N+]=[N-])c1,true,
enum-000019,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(C#C)c2,deterministic-enumeration,C#Cc1cc(C)cc(CCc2ccc(C)cc2N=[N+]=[N-])c1,true,
enum-000020,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(CF)c2,deterministic-enumeration,Cc1cc(CF)cc(CCc2ccc(C)cc2N=[N+]=[N-])c1,true,
enum-000021,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(CCl)c2,deterministic-enumeration,Cc1cc(CCl)cc(CCc2ccc(C)cc2N=[N+]=[N-])c1,true,
enum-000022,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(CBr)c2,deterministic-enumeration,Cc1cc(CBr)cc(CCc2ccc(C)cc2N=[N+]=[N-])c1,true,
enum-000023,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(COC)c2,deterministic-enumeration,COCc1cc(C)cc(CCc2ccc(C)cc2N=[N+]=[N-])c1,true,
enum-000024,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(CCO)c2,deterministic-enumeration,Cc1cc(CCO)cc(CCc2ccc(C)cc2N=[N+]=[N-])c1,true,
enum-000025,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(C(C)C)c2,deterministic-enumeration,Cc1cc(CCc2ccc(C)cc2N=[N+]=[N-])cc(C(C)C)c1,true,
enum-000026,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(C(C)(C)C)c2,deterministic-enumeration,Cc1cc(CCc2ccc(C)cc2N=[N+]=[N-])cc(C(C)(C)C)c1,true,
enum-000027,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(C1CCCC1)c2,deterministic-enumeration,Cc1cc(CCc2ccc(C)cc2N=[N+]=[N-])cc(C2CCCC2)c1,true,
enum-000028,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(c1ccncc1)c2,deterministic-enumeration,Cc1cc(CCc2ccc(C)cc2N=[N+]=[N-])cc(-c2ccncc2)c1,true,
enum-000029,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(c1ccoc1)c2,deterministic-enumeration,Cc1cc(CCc2ccc(C)cc2N=[N+]=[N-])cc(-c2ccoc2)c1,true,
enum-000030,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(c1ccsc1)c2,deterministic-enumeration,Cc1cc(CCc2ccc(C)cc2N=[N+]=[N-])cc(-c2ccsc2)c1,true,
enum-000031,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(C(=O)N)c2,deterministic-enumeration,Cc1cc(CCc2ccc(C)cc2N=[N+]=[N-])cc(C(N)=O)c1,true,
enum-000032,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(C(C)O)c2,deterministic-enumeration,Cc1cc(CCc2ccc(C)cc2N=[N+]=[N-])cc(C(C)O)c1,true,
enum-000033,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(C(C)F)c2,deterministic-enumeration,Cc1cc(CCc2ccc(C)cc2N=[N+]=[N-])cc(C(C)F)c1,true,
enum-000034,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(C(C)Cl)c2,deterministic-enumeration,Cc1cc(CCc2ccc(C)cc2N=[N+]=[N-])cc(C(C)Cl)c1,true,
enum-000035,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(C(C)Br)c2,deterministic-enumeration,Cc1cc(CCc2ccc(C)cc2N=[N+]=[N-])cc(C(C)Br)c1,true,
enum-000036,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(C(C)C#N)c2,deterministic-enumeration,Cc1cc(CCc2ccc(C)cc2N=[N+]=[N-])cc(C(C)C#N)c1,true,
enum-000037,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(C)cc(C1CCOCC1)c2,deterministic-enumeration,Cc1cc(CCc2ccc(C)cc2N=[N+]=[N-])cc(C2CCOCC2)c1,true,
enum-000038,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(CC)cc(C)c2,deterministic-enumeration,CCc1cc(C)cc(CCc2ccc(C)cc2N=[N+]=[N-])c1,false,duplicate_canonical
enum-000039,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(CC)cc(CC)c2,deterministic-enumeration,CCc1cc(CC)cc(CCc2ccc(C)cc2N=[N+]=[N-])c1,true,
enum-000040,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(CC)cc(CCC)c2,deterministic-enumeration,CCCc1cc(CC)cc(CCc2ccc(C)cc2N=[N+]=[N-])c1,true,
enum-000041,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(CC)cc(CO)c2,deterministic-enumeration,CCc1cc(CO)cc(CCc2ccc(C)cc2N=[N+]=[N-])c1,true,
enum-000042,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(CC)cc(OC)c2,deterministic-enumeration,CCc1cc(CCc2ccc(C)cc2N=[N+]=[N-])cc(OC)c1,true,
enum-000043,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(CC)cc(F)c2,deterministic-enumeration,CCc1cc(F)cc(CCc2ccc(C)cc2N=[N+]=[N-])c1,true,
enum-000044,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(CC)cc(Cl)c2,deterministic-enumeration,CCc1cc(Cl)cc(CCc2ccc(C)cc2N=[N+]=[N-])c1,true,
enum-000045,[N-]=[N+]=Nc1cc(C)ccc1CCc2cc(CC)cc(Br)c2,deterministic-enumeration,CCc1cc(Br)cc(CCc2ccc(C)cc2N=[N+]=[N-])c1,true,
