candidate_id,smiles,provenance,canonical_smiles,contract_valid,rejection_reasons,ad_max_morgan_tanimoto,ad_status,morphology_family,molecular_weight,ring_count,sp3_fraction,heteroatom_count
rnn-1101-00010,[N-]=[N+]=Nc1ccccc1CCC(=O)O,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCC(=O)O,true,,0.684211,in_domain,heteroatom_rich,191.190,1,0.1429,5
rnn-1101-00021,[N-]=[N+]=Nc1ccccc1CC,smiles-rnn-promptsmiles,CCc1ccccc1N=[N+]=[N-],true,,0.724138,in_domain,simple_aryl_tether,147.181,1,0.1818,3
rnn-1101-00022,[N-]=[N+]=Nc1ccccc1CCC(Nc1cc(S(=O)(N)=O)ccc1)=O,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCC(=O)Nc1cccc(S(N)(=O)=O)c1,true,,0.500000,in_domain,heteroatom_rich,345.384,2,0.1667,9
rnn-1101-00057,[N-]=[N+]=Nc1ccccc1CCc1ccc(C(OC)=O)cc1,smiles-rnn-promptsmiles,COC(=O)c1ccc(CCc2ccccc2N=[N+]=[N-])cc1,true,,0.659091,in_domain,heteroatom_rich,281.315,2,0.1429,5
rnn-1101-00087,[N-]=[N+]=Nc1ccccc1CCN1CCN(c2ccccn2)CC1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCN1CCN(c2ccccn2)CC1,true,,0.541667,in_domain,fused_or_polycyclic,308.389,3,0.3043,6
rnn-1101-00108,[N-]=[N+]=Nc1ccccc1C(C)C,smiles-rnn-promptsmiles,CC(C)c1ccccc1N=[N+]=[N-],true,,0.486486,in_domain,simple_aryl_tether,161.208,1,0.2500,3
rnn-1101-00134,[N-]=[N+]=Nc1ccccc1C(C)(O)C,smiles-rnn-promptsmiles,CC(C)(O)c1ccccc1N=[N+]=[N-],true,,0.444444,in_domain,simple_aryl_tether,177.207,1,0.3077,4
rnn-1101-00189,[N-]=[N+]=Nc1ccccc1C1CCCCN1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1C1CCCCN1,true,,0.621622,in_domain,flexible_sp3_rich,202.261,2,0.4000,4
rnn-1101-00232,[N-]=[N+]=Nc1ccccc1C1CCCCO1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1C1CCCCO1,true,,0.621622,in_domain,flexible_sp3_rich,203.245,2,0.4000,4
rnn-1101-00265,[N-]=[N+]=Nc1ccccc1C(C)(C)C,smiles-rnn-promptsmiles,CC(C)(C)c1ccccc1N=[N+]=[N-],true,,0.470588,in_domain,simple_aryl_tether,175.235,1,0.3077,3
rnn-1101-00324,[N-]=[N+]=Nc1ccccc1CC(C(=O)N)N,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CC(N)C(N)=O,true,,0.523810,in_domain,heteroatom_rich,205.221,1,0.2000,6
rnn-1101-00348,[N-]=[N+]=Nc1ccccc1C(C)(C)F,smiles-rnn-promptsmiles,CC(C)(F)c1ccccc1N=[N+]=[N-],true,,0.444444,in_domain,simple_aryl_tether,179.198,1,0.3077,4
rnn-1101-00420,[N-]=[N+]=Nc1ccccc1C(C)(C)CC,smiles-rnn-promptsmiles,CCC(C)(C)c1ccccc1N=[N+]=[N-],true,,0.500000,in_domain,flexible_sp3_rich,189.262,1,0.3571,3
rnn-1101-00474,[N-]=[N+]=Nc1ccccc1C(Cc1c2c(ccc(OC)c2)ncc1)O,smiles-rnn-promptsmiles,COc1ccc2nccc(CC(O)c3ccccc3N=[N+]=[N-])c2c1,true,,0.409836,in_domain,fused_or_polycyclic,320.352,3,0.1667,6
rnn-1101-00490,[N-]=[N+]=Nc1ccccc1CCCO,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCCO,true,,0.696970,in_domain,simple_aryl_tether,177.207,1,0.3077,4
rnn-1101-00520,[N-]=[N+]=Nc1ccccc1CC(C(O)=O)S,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CC(S)C(=O)O,true,,0.560976,in_domain,heteroatom_rich,223.257,1,0.2000,6
rnn-1101-00566,[N-]=[N+]=Nc1ccccc1C(C)(C)C#N,smiles-rnn-promptsmiles,CC(C)(C#N)c1ccccc1N=[N+]=[N-],true,,0.410256,in_domain,simple_aryl_tether,186.218,1,0.2143,4
rnn-1101-00591,[N-]=[N+]=Nc1ccccc1C1c2c(cccc2)CC1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1C1CCc2ccccc21,true,,0.567568,in_domain,fused_or_polycyclic,235.290,3,0.1667,3
rnn-1101-00688,[N-]=[N+]=Nc1ccccc1CCn1ccnc1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCn1ccnc1,true,,0.512195,in_domain,heteroatom_rich,213.244,2,0.1250,5
rnn-1101-00769,[N-]=[N+]=Nc1ccccc1CCC,smiles-rnn-promptsmiles,CCCc1ccccc1N=[N+]=[N-],true,,1.000000,in_domain,simple_aryl_tether,161.208,1,0.2500,3
rnn-1101-00826,[N-]=[N+]=Nc1ccccc1CCc1ccc(OC)cc1O,smiles-rnn-promptsmiles,COc1ccc(CCc2ccccc2N=[N+]=[N-])c(O)c1,true,,0.674419,in_domain,heteroatom_rich,269.304,2,0.1500,5
rnn-1101-01056,[N-]=[N+]=Nc1ccccc1CCN1C(C)CCC1,smiles-rnn-promptsmiles,CC1CCCN1CCc1ccccc1N=[N+]=[N-],true,,0.543478,in_domain,flexible_sp3_rich,230.315,2,0.4706,4
