scope,target,model,route,prefix_count,first_prefix_n,last_prefix_n,mean_prefix_mae,auc_mae,first_prefix_mae,final_prefix_mae,best_prefix_mae,n90,replicates,rank_by_mean_prefix_mae
P7,ee_percent,ridge,uncertainty_diversity,36,2,37,9.683990367827652,348.62365324179547,19.11321561343473,3.7721053597313414,3.7721053597313414,16,1,1
P7,ee_percent,ridge,diversity_first,36,2,37,11.197344453529924,403.10440032707726,19.11321561343473,3.7721052418067984,3.7721052418067984,24,1,2
P7,ee_percent,ridge,random,36,2,37,11.260768183399898,405.38765460239637,26.16144974817111,8.121798904086868,8.121798904086868,29,500,3
P7,ee_percent,ridge,performance_first,36,2,37,11.715594584099945,421.761405027598,19.11321561343473,18.22392906726015,8.4054166642373,7,1,4
P7,ee_percent,ridge,historical_order,36,2,37,21.67218354403671,780.1986075853215,35.35472983394089,9.719410236666064,9.719410236666064,,1,5
CMC-Por aryl,ee_percent,ridge,uncertainty_diversity,24,2,25,8.786816889002562,210.8836053360615,25.84618328737834,4.140820602246762,3.0736469851047215,8,1,1
CMC-Por aryl,ee_percent,ridge,diversity_first,24,2,25,9.841508426584525,236.1962022380286,25.84618328737834,4.140820748048199,2.835457667852735,14,1,2
CMC-Por aryl,ee_percent,ridge,historical_order,24,2,25,13.154878372506024,315.71708094014457,28.1615886075078,8.772583104247289,6.11045081843219,16,1,3
CMC-Por aryl,ee_percent,ridge,random,24,2,25,13.654462222034029,327.7070933288167,28.286626306188726,10.64446646975816,10.48416272859402,19,500,4
CMC-Por aryl,ee_percent,ridge,performance_first,24,2,25,14.513751216248584,348.330029189966,25.84618328737834,8.772611305254912,6.990390577172157,23,1,5
