candidate_id,smiles,provenance,canonical_smiles,contract_valid,rejection_reasons,ad_max_morgan_tanimoto,ad_status,morphology_family,molecular_weight,ring_count,sp3_fraction,heteroatom_count,panel_rank,selection_status
rnn-1101-01254,[N-]=[N+]=Nc1ccccc1C1CC1C,smiles-rnn-promptsmiles,CC1CC1c1ccccc1N=[N+]=[N-],true,,0.571429,in_domain,diaryl_or_bicyclic,173.219,2,0.3077,3,1,morphology_balanced_pending_ee_scoring
rnn-1101-00189,[N-]=[N+]=Nc1ccccc1C1CCCCN1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1C1CCCCN1,true,,0.621622,in_domain,flexible_sp3_rich,202.261,2,0.4000,4,2,morphology_balanced_pending_ee_scoring
rnn-1101-00087,[N-]=[N+]=Nc1ccccc1CCN1CCN(c2ccccn2)CC1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCN1CCN(c2ccccn2)CC1,true,,0.541667,in_domain,fused_or_polycyclic,308.389,3,0.3043,6,3,morphology_balanced_pending_ee_scoring
rnn-1101-00010,[N-]=[N+]=Nc1ccccc1CCC(=O)O,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCC(=O)O,true,,0.684211,in_domain,heteroatom_rich,191.190,1,0.1429,5,4,morphology_balanced_pending_ee_scoring
rnn-1101-00021,[N-]=[N+]=Nc1ccccc1CC,smiles-rnn-promptsmiles,CCc1ccccc1N=[N+]=[N-],true,,0.724138,in_domain,simple_aryl_tether,147.181,1,0.1818,3,5,morphology_balanced_pending_ee_scoring
rnn-1101-01526,[N-]=[N+]=Nc1ccccc1C(C)c1cccnc1,smiles-rnn-promptsmiles,CC(c1cccnc1)c1ccccc1N=[N+]=[N-],true,,0.434783,in_domain,diaryl_or_bicyclic,224.267,2,0.1176,4,6,morphology_balanced_pending_ee_scoring
rnn-1101-00232,[N-]=[N+]=Nc1ccccc1C1CCCCO1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1C1CCCCO1,true,,0.621622,in_domain,flexible_sp3_rich,203.245,2,0.4000,4,7,morphology_balanced_pending_ee_scoring
rnn-1101-00474,[N-]=[N+]=Nc1ccccc1C(Cc1c2c(ccc(OC)c2)ncc1)O,smiles-rnn-promptsmiles,COc1ccc2nccc(CC(O)c3ccccc3N=[N+]=[N-])c2c1,true,,0.409836,in_domain,fused_or_polycyclic,320.352,3,0.1667,6,8,morphology_balanced_pending_ee_scoring
rnn-1101-00022,[N-]=[N+]=Nc1ccccc1CCC(Nc1cc(S(=O)(N)=O)ccc1)=O,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCC(=O)Nc1cccc(S(N)(=O)=O)c1,true,,0.500000,in_domain,heteroatom_rich,345.384,2,0.1667,9,9,morphology_balanced_pending_ee_scoring
rnn-1101-00108,[N-]=[N+]=Nc1ccccc1C(C)C,smiles-rnn-promptsmiles,CC(C)c1ccccc1N=[N+]=[N-],true,,0.486486,in_domain,simple_aryl_tether,161.208,1,0.2500,3,10,morphology_balanced_pending_ee_scoring
rnn-1101-01577,[N-]=[N+]=Nc1ccccc1C(C)(C)c1ccccc1,smiles-rnn-promptsmiles,CC(C)(c1ccccc1)c1ccccc1N=[N+]=[N-],true,,0.422222,in_domain,diaryl_or_bicyclic,237.306,2,0.1667,3,11,morphology_balanced_pending_ee_scoring
rnn-1101-00420,[N-]=[N+]=Nc1ccccc1C(C)(C)CC,smiles-rnn-promptsmiles,CCC(C)(C)c1ccccc1N=[N+]=[N-],true,,0.500000,in_domain,flexible_sp3_rich,189.262,1,0.3571,3,12,morphology_balanced_pending_ee_scoring
rnn-1101-00591,[N-]=[N+]=Nc1ccccc1C1c2c(cccc2)CC1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1C1CCc2ccccc21,true,,0.567568,in_domain,fused_or_polycyclic,235.290,3,0.1667,3,13,morphology_balanced_pending_ee_scoring
rnn-1101-00057,[N-]=[N+]=Nc1ccccc1CCc1ccc(C(OC)=O)cc1,smiles-rnn-promptsmiles,COC(=O)c1ccc(CCc2ccccc2N=[N+]=[N-])cc1,true,,0.659091,in_domain,heteroatom_rich,281.315,2,0.1429,5,14,morphology_balanced_pending_ee_scoring
rnn-1101-00134,[N-]=[N+]=Nc1ccccc1C(C)(O)C,smiles-rnn-promptsmiles,CC(C)(O)c1ccccc1N=[N+]=[N-],true,,0.444444,in_domain,simple_aryl_tether,177.207,1,0.3077,4,15,morphology_balanced_pending_ee_scoring
rnn-1101-02612,[N-]=[N+]=Nc1ccccc1CCN(C)Cc1ccccc1,smiles-rnn-promptsmiles,CN(CCc1ccccc1N=[N+]=[N-])Cc1ccccc1,true,,0.631579,in_domain,diaryl_or_bicyclic,266.348,2,0.2500,4,16,morphology_balanced_pending_ee_scoring
