candidate_id,candidate_rank,canonical_smiles,predicted_ee,ad_status,r_fragment,route_status,A_partner_smiles,A_pubchem_status,A_pubchem_url,B_partner_smiles,B_pubchem_status,B_pubchem_url,C_partner_smiles,C_pubchem_status,C_pubchem_url,D_partner_smiles,D_pubchem_status,D_pubchem_url,fixed_core_pubchem_status
rnn-1101-00057,1,COC(=O)c1ccc(CCc2ccccc2N=[N+]=[N-])cc1,83.3021,in_domain,*c1ccc(C(=O)OC)cc1,route_mapped,C=Cc1ccc(C(=O)OC)cc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%3DCc1ccc%28C%28%3DO%29OC%29cc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",COC(=O)c1ccc(Br)cc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/COC%28%3DO%29c1ccc%28Br%29cc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",COC(=O)c1ccc(Br)cc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/COC%28%3DO%29c1ccc%28Br%29cc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",C#Cc1ccc(C(=O)OC)cc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%23Cc1ccc%28C%28%3DO%29OC%29cc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",known_pubchem_core_records
rnn-4404-07513,2,[N-]=[N+]=Nc1ccccc1CCc1ccc(O)cc1,82.7366,in_domain,*c1ccc(O)cc1,route_mapped,C=Cc1ccc(O)cc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%3DCc1ccc%28O%29cc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",Oc1ccc(Br)cc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/Oc1ccc%28Br%29cc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",Oc1ccc(Br)cc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/Oc1ccc%28Br%29cc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",C#Cc1ccc(O)cc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%23Cc1ccc%28O%29cc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",known_pubchem_core_records
rnn-5505-08915,3,[N-]=[N+]=Nc1ccccc1CCc1cccc(O)c1,81.3699,in_domain,*c1cccc(O)c1,route_mapped,C=Cc1cccc(O)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%3DCc1cccc%28O%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",Oc1cccc(Br)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/Oc1cccc%28Br%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",Oc1cccc(Br)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/Oc1cccc%28Br%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",C#Cc1cccc(O)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%23Cc1cccc%28O%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",known_pubchem_core_records
rnn-4404-05903,4,Cc1ccc(CNC(=O)OCCc2ccccc2N=[N+]=[N-])cc1,78.1930,in_domain,,route_not_mapped,,route_not_mapped,,,route_not_mapped,,,route_not_mapped,,,route_not_mapped,,known_pubchem_core_records
rnn-2202-08414,5,CN(C)C(=O)Oc1cc(CCc2ccccc2N=[N+]=[N-])cc(C(=O)O)c1,77.9428,in_domain,*c1cc(OC(=O)N(C)C)cc(C(=O)O)c1,route_mapped,C=Cc1cc(OC(=O)N(C)C)cc(C(=O)O)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%3DCc1cc%28OC%28%3DO%29N%28C%29C%29cc%28C%28%3DO%29O%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",CN(C)C(=O)Oc1cc(Br)cc(C(=O)O)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/CN%28C%29C%28%3DO%29Oc1cc%28Br%29cc%28C%28%3DO%29O%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",CN(C)C(=O)Oc1cc(Br)cc(C(=O)O)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/CN%28C%29C%28%3DO%29Oc1cc%28Br%29cc%28C%28%3DO%29O%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",C#Cc1cc(OC(=O)N(C)C)cc(C(=O)O)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%23Cc1cc%28OC%28%3DO%29N%28C%29C%29cc%28C%28%3DO%29O%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",known_pubchem_core_records
rnn-1101-03461,6,[N-]=[N+]=Nc1ccccc1CCc1ccccc1,77.8171,in_domain,*c1ccccc1,route_mapped,C=Cc1ccccc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%3DCc1ccccc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",Brc1ccccc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/Brc1ccccc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",Brc1ccccc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/Brc1ccccc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",C#Cc1ccccc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%23Cc1ccccc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",known_pubchem_core_records
rnn-2202-01263,7,[N-]=[N+]=Nc1ccccc1CCc1ccncc1,77.6354,in_domain,*c1ccncc1,route_mapped,C=Cc1ccncc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%3DCc1ccncc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",Brc1ccncc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/Brc1ccncc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",Brc1ccncc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/Brc1ccncc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",C#Cc1ccncc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%23Cc1ccncc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",known_pubchem_core_records
rnn-1101-07965,8,[N-]=[N+]=Nc1ccccc1CCc1cccnc1,76.1076,in_domain,*c1cccnc1,route_mapped,C=Cc1cccnc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%3DCc1cccnc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",Brc1cccnc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/Brc1cccnc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",Brc1cccnc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/Brc1cccnc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",C#Cc1cccnc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%23Cc1cccnc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",known_pubchem_core_records
rnn-1101-09375,9,CN1CCN(Cc2ccc3nc(NC(=O)CCc4ccccc4N=[N+]=[N-])sc3c2)CC1,73.4247,in_domain,*C(=O)Nc1nc2ccc(CN3CCN(C)CC3)cc2s1,route_mapped,C=CC(=O)Nc1nc2ccc(CN3CCN(C)CC3)cc2s1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%3DCC%28%3DO%29Nc1nc2ccc%28CN3CCN%28C%29CC3%29cc2s1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",,partner_structurally_infeasible,,,partner_structurally_infeasible,,C#CC(=O)Nc1nc2ccc(CN3CCN(C)CC3)cc2s1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%23CC%28%3DO%29Nc1nc2ccc%28CN3CCN%28C%29CC3%29cc2s1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",known_pubchem_core_records
rnn-2202-09427,10,Cc1nc(CCc2ccccc2N=[N+]=[N-])c(C)n1-c1cc(=O)n2ccsc2n1,72.6813,in_domain,*c1nc(C)n(-c2cc(=O)n3ccsc3n2)c1C,route_mapped,C=Cc1nc(C)n(-c2cc(=O)n3ccsc3n2)c1C,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%3DCc1nc%28C%29n%28-c2cc%28%3DO%29n3ccsc3n2%29c1C/property/IUPACName,CanonicalSMILES,InChIKey/JSON",Cc1nc(Br)c(C)n1-c1cc(=O)n2ccsc2n1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/Cc1nc%28Br%29c%28C%29n1-c1cc%28%3DO%29n2ccsc2n1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",Cc1nc(Br)c(C)n1-c1cc(=O)n2ccsc2n1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/Cc1nc%28Br%29c%28C%29n1-c1cc%28%3DO%29n2ccsc2n1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",C#Cc1nc(C)n(-c2cc(=O)n3ccsc3n2)c1C,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%23Cc1nc%28C%29n%28-c2cc%28%3DO%29n3ccsc3n2%29c1C/property/IUPACName,CanonicalSMILES,InChIKey/JSON",known_pubchem_core_records
rnn-4404-03450,11,COc1ccc2nc(CCc3ccccc3N=[N+]=[N-])c(=O)[nH]c2c1,72.0416,in_domain,*c1nc2ccc(OC)cc2[nH]c1=O,route_mapped,C=Cc1nc2ccc(OC)cc2[nH]c1=O,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%3DCc1nc2ccc%28OC%29cc2%5BnH%5Dc1%3DO/property/IUPACName,CanonicalSMILES,InChIKey/JSON",COc1ccc2nc(Br)c(=O)[nH]c2c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/COc1ccc2nc%28Br%29c%28%3DO%29%5BnH%5Dc2c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",COc1ccc2nc(Br)c(=O)[nH]c2c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/COc1ccc2nc%28Br%29c%28%3DO%29%5BnH%5Dc2c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",C#Cc1nc2ccc(OC)cc2[nH]c1=O,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%23Cc1nc2ccc%28OC%29cc2%5BnH%5Dc1%3DO/property/IUPACName,CanonicalSMILES,InChIKey/JSON",known_pubchem_core_records
rnn-5505-02448,12,COc1ccc([N+]2([O-])N=C(CCc3ccccc3N=[N+]=[N-])c3cc(O)ccc3O2)cc1,71.1442,in_domain,*C1=N[N+]([O-])(c2ccc(OC)cc2)Oc2ccc(O)cc21,route_mapped,C=CC1=N[N+]([O-])(c2ccc(OC)cc2)Oc2ccc(O)cc21,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%3DCC1%3DN%5BN%2B%5D%28%5BO-%5D%29%28c2ccc%28OC%29cc2%29Oc2ccc%28O%29cc21/property/IUPACName,CanonicalSMILES,InChIKey/JSON",,partner_structurally_infeasible,,,partner_structurally_infeasible,,C#CC1=N[N+]([O-])(c2ccc(OC)cc2)Oc2ccc(O)cc21,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%23CC1%3DN%5BN%2B%5D%28%5BO-%5D%29%28c2ccc%28OC%29cc2%29Oc2ccc%28O%29cc21/property/IUPACName,CanonicalSMILES,InChIKey/JSON",known_pubchem_core_records
rnn-4404-03337,13,[N-]=[N+]=Nc1ccccc1CCC(=O)N1CCN(C(=O)c2ccco2)CC1,70.6137,in_domain,*C(=O)N1CCN(C(=O)c2ccco2)CC1,route_mapped,C=CC(=O)N1CCN(C(=O)c2ccco2)CC1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%3DCC%28%3DO%29N1CCN%28C%28%3DO%29c2ccco2%29CC1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",,partner_structurally_infeasible,,,partner_structurally_infeasible,,C#CC(=O)N1CCN(C(=O)c2ccco2)CC1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%23CC%28%3DO%29N1CCN%28C%28%3DO%29c2ccco2%29CC1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",known_pubchem_core_records
rnn-5505-06590,14,[N-]=[N+]=Nc1ccccc1C1NC(CCc2ccccc2)=NC1N,70.3002,in_domain,,route_not_mapped,,route_not_mapped,,,route_not_mapped,,,route_not_mapped,,,route_not_mapped,,known_pubchem_core_records
rnn-5505-00686,15,COc1ccc(OC)c(CCc2ccccc2N=[N+]=[N-])c1,69.4021,in_domain,*c1cc(OC)ccc1OC,route_mapped,C=Cc1cc(OC)ccc1OC,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%3DCc1cc%28OC%29ccc1OC/property/IUPACName,CanonicalSMILES,InChIKey/JSON",COc1ccc(OC)c(Br)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/COc1ccc%28OC%29c%28Br%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",COc1ccc(OC)c(Br)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/COc1ccc%28OC%29c%28Br%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",C#Cc1cc(OC)ccc1OC,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%23Cc1cc%28OC%29ccc1OC/property/IUPACName,CanonicalSMILES,InChIKey/JSON",known_pubchem_core_records
rnn-3303-05111,16,CN(C)C(=O)CCc1ccccc1N=[N+]=[N-],69.3231,in_domain,*C(=O)N(C)C,route_mapped,C=CC(=O)N(C)C,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%3DCC%28%3DO%29N%28C%29C/property/IUPACName,CanonicalSMILES,InChIKey/JSON",,partner_structurally_infeasible,,,partner_structurally_infeasible,,C#CC(=O)N(C)C,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%23CC%28%3DO%29N%28C%29C/property/IUPACName,CanonicalSMILES,InChIKey/JSON",known_pubchem_core_records
