candidate_id,candidate_rank,canonical_smiles,predicted_ee,ad_status,r_fragment,route_status,A_partner_smiles,A_pubchem_status,A_pubchem_url,B_partner_smiles,B_pubchem_status,B_pubchem_url,C_partner_smiles,C_pubchem_status,C_pubchem_url,D_partner_smiles,D_pubchem_status,D_pubchem_url,fixed_core_pubchem_status
enum-035788,1,[N-]=[N+]=Nc1cc(CCO)ccc1CCc1cc(-c2ccoc2)cc(-c2ccsc2)c1,96.4522,in_domain,*c1cc(-c2ccoc2)cc(-c2ccsc2)c1,route_mapped,C=Cc1cc(-c2ccoc2)cc(-c2ccsc2)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%3DCc1cc%28-c2ccoc2%29cc%28-c2ccsc2%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",Brc1cc(-c2ccoc2)cc(-c2ccsc2)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/Brc1cc%28-c2ccoc2%29cc%28-c2ccsc2%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",Brc1cc(-c2ccoc2)cc(-c2ccsc2)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/Brc1cc%28-c2ccoc2%29cc%28-c2ccsc2%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",C#Cc1cc(-c2ccoc2)cc(-c2ccsc2)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%23Cc1cc%28-c2ccoc2%29cc%28-c2ccsc2%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",known_pubchem_core_records
enum-034990,2,[N-]=[N+]=Nc1cc(CCO)ccc1CCc1cc(-c2ccsc2)cc(C(F)(F)F)c1,95.3734,in_domain,*c1cc(-c2ccsc2)cc(C(F)(F)F)c1,route_mapped,C=Cc1cc(-c2ccsc2)cc(C(F)(F)F)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%3DCc1cc%28-c2ccsc2%29cc%28C%28F%29%28F%29F%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",FC(F)(F)c1cc(Br)cc(-c2ccsc2)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/FC%28F%29%28F%29c1cc%28Br%29cc%28-c2ccsc2%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",FC(F)(F)c1cc(Br)cc(-c2ccsc2)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/FC%28F%29%28F%29c1cc%28Br%29cc%28-c2ccsc2%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",C#Cc1cc(-c2ccsc2)cc(C(F)(F)F)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%23Cc1cc%28-c2ccsc2%29cc%28C%28F%29%28F%29F%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",known_pubchem_core_records
enum-034989,3,[N-]=[N+]=Nc1cc(CCO)ccc1CCc1cc(-c2ccoc2)cc(C(F)(F)F)c1,94.8609,in_domain,*c1cc(-c2ccoc2)cc(C(F)(F)F)c1,route_mapped,C=Cc1cc(-c2ccoc2)cc(C(F)(F)F)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%3DCc1cc%28-c2ccoc2%29cc%28C%28F%29%28F%29F%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",FC(F)(F)c1cc(Br)cc(-c2ccoc2)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/FC%28F%29%28F%29c1cc%28Br%29cc%28-c2ccoc2%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",FC(F)(F)c1cc(Br)cc(-c2ccoc2)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/FC%28F%29%28F%29c1cc%28Br%29cc%28-c2ccoc2%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",C#Cc1cc(-c2ccoc2)cc(C(F)(F)F)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%23Cc1cc%28-c2ccoc2%29cc%28C%28F%29%28F%29F%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",known_pubchem_core_records
enum-034664,4,Cc1cc(CCc2ccc(CCO)cc2N=[N+]=[N-])cc(C(F)(F)F)c1,94.7864,in_domain,*c1cc(C)cc(C(F)(F)F)c1,route_mapped,C=Cc1cc(C)cc(C(F)(F)F)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%3DCc1cc%28C%29cc%28C%28F%29%28F%29F%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",Cc1cc(Br)cc(C(F)(F)F)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/Cc1cc%28Br%29cc%28C%28F%29%28F%29F%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",Cc1cc(Br)cc(C(F)(F)F)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/Cc1cc%28Br%29cc%28C%28F%29%28F%29F%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",C#Cc1cc(C)cc(C(F)(F)F)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%23Cc1cc%28C%29cc%28C%28F%29%28F%29F%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",known_pubchem_core_records
enum-035256,5,Cc1ccccc1-c1cc(CCc2ccc(CCO)cc2N=[N+]=[N-])cc(-c2ccsc2)c1,94.7551,in_domain,*c1cc(-c2ccsc2)cc(-c2ccccc2C)c1,route_mapped,C=Cc1cc(-c2ccsc2)cc(-c2ccccc2C)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%3DCc1cc%28-c2ccsc2%29cc%28-c2ccccc2C%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",Cc1ccccc1-c1cc(Br)cc(-c2ccsc2)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/Cc1ccccc1-c1cc%28Br%29cc%28-c2ccsc2%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",Cc1ccccc1-c1cc(Br)cc(-c2ccsc2)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/Cc1ccccc1-c1cc%28Br%29cc%28-c2ccsc2%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",C#Cc1cc(-c2ccsc2)cc(-c2ccccc2C)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%23Cc1cc%28-c2ccsc2%29cc%28-c2ccccc2C%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",known_pubchem_core_records
enum-035218,6,[N-]=[N+]=Nc1cc(CCO)ccc1CCc1cc(-c2ccc(Cl)cc2)cc(-c2ccsc2)c1,94.3682,in_domain,*c1cc(-c2ccc(Cl)cc2)cc(-c2ccsc2)c1,route_mapped,C=Cc1cc(-c2ccc(Cl)cc2)cc(-c2ccsc2)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%3DCc1cc%28-c2ccc%28Cl%29cc2%29cc%28-c2ccsc2%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",Clc1ccc(-c2cc(Br)cc(-c3ccsc3)c2)cc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/Clc1ccc%28-c2cc%28Br%29cc%28-c3ccsc3%29c2%29cc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",Clc1ccc(-c2cc(Br)cc(-c3ccsc3)c2)cc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/Clc1ccc%28-c2cc%28Br%29cc%28-c3ccsc3%29c2%29cc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",C#Cc1cc(-c2ccc(Cl)cc2)cc(-c2ccsc2)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%23Cc1cc%28-c2ccc%28Cl%29cc2%29cc%28-c2ccsc2%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",known_pubchem_core_records
enum-035255,7,Cc1ccccc1-c1cc(CCc2ccc(CCO)cc2N=[N+]=[N-])cc(-c2ccoc2)c1,94.2425,in_domain,*c1cc(-c2ccoc2)cc(-c2ccccc2C)c1,route_mapped,C=Cc1cc(-c2ccoc2)cc(-c2ccccc2C)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%3DCc1cc%28-c2ccoc2%29cc%28-c2ccccc2C%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",Cc1ccccc1-c1cc(Br)cc(-c2ccoc2)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/Cc1ccccc1-c1cc%28Br%29cc%28-c2ccoc2%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",Cc1ccccc1-c1cc(Br)cc(-c2ccoc2)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/Cc1ccccc1-c1cc%28Br%29cc%28-c2ccoc2%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",C#Cc1cc(-c2ccoc2)cc(-c2ccccc2C)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%23Cc1cc%28-c2ccoc2%29cc%28-c2ccccc2C%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",known_pubchem_core_records
enum-034914,8,[N-]=[N+]=Nc1cc(CCO)ccc1CCc1cc(Cl)cc(-c2ccsc2)c1,93.8822,in_domain,*c1cc(Cl)cc(-c2ccsc2)c1,route_mapped,C=Cc1cc(Cl)cc(-c2ccsc2)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%3DCc1cc%28Cl%29cc%28-c2ccsc2%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",Clc1cc(Br)cc(-c2ccsc2)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/Clc1cc%28Br%29cc%28-c2ccsc2%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",Clc1cc(Br)cc(-c2ccsc2)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/Clc1cc%28Br%29cc%28-c2ccsc2%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",C#Cc1cc(Cl)cc(-c2ccsc2)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%23Cc1cc%28Cl%29cc%28-c2ccsc2%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",known_pubchem_core_records
rnn-1101-00057,9,COC(=O)c1ccc(CCc2ccccc2N=[N+]=[N-])cc1,83.3021,in_domain,*c1ccc(C(=O)OC)cc1,route_mapped,C=Cc1ccc(C(=O)OC)cc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%3DCc1ccc%28C%28%3DO%29OC%29cc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",COC(=O)c1ccc(Br)cc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/COC%28%3DO%29c1ccc%28Br%29cc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",COC(=O)c1ccc(Br)cc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/COC%28%3DO%29c1ccc%28Br%29cc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",C#Cc1ccc(C(=O)OC)cc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%23Cc1ccc%28C%28%3DO%29OC%29cc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",known_pubchem_core_records
rnn-4404-07513,10,[N-]=[N+]=Nc1ccccc1CCc1ccc(O)cc1,82.7366,in_domain,*c1ccc(O)cc1,route_mapped,C=Cc1ccc(O)cc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%3DCc1ccc%28O%29cc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",Oc1ccc(Br)cc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/Oc1ccc%28Br%29cc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",Oc1ccc(Br)cc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/Oc1ccc%28Br%29cc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",C#Cc1ccc(O)cc1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%23Cc1ccc%28O%29cc1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",known_pubchem_core_records
rnn-5505-08915,11,[N-]=[N+]=Nc1ccccc1CCc1cccc(O)c1,81.3699,in_domain,*c1cccc(O)c1,route_mapped,C=Cc1cccc(O)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%3DCc1cccc%28O%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",Oc1cccc(Br)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/Oc1cccc%28Br%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",Oc1cccc(Br)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/Oc1cccc%28Br%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",C#Cc1cccc(O)c1,query_pending,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/C%23Cc1cccc%28O%29c1/property/IUPACName,CanonicalSMILES,InChIKey/JSON",known_pubchem_core_records
rnn-4404-05903,12,Cc1ccc(CNC(=O)OCCc2ccccc2N=[N+]=[N-])cc1,78.1930,in_domain,,route_not_mapped,,route_not_mapped,,,route_not_mapped,,,route_not_mapped,,,route_not_mapped,,known_pubchem_core_records
