substrate_id,product_id,azide_smiles,nitrene_smiles,azide_position
2aa,,C=CCCc1ccccc1N=N#N,C=CCCc1ccccc1[N],suffix
2ab,,C=C(C)CCc1ccccc1N=N#N,C=C(C)CCc1ccccc1[N],suffix
2ac,,N#N=Nc1ccccc1CCC#Cc2ccccc2,[N]c1ccccc1CCC#Cc1ccccc1,prefix
2b,,Cc2ccc(CCc1ccccc1N=N#N)cc2,Cc1ccc(CCc2ccccc2[N])cc1,suffix
2c,,N#N=Nc1ccccc1CCc2ccc(F)cc2,[N]c1ccccc1CCc1ccc(F)cc1,prefix
2d,,COc2ccc(CCc1ccccc1N=N#N)cc2,COc1ccc(CCc2ccccc2[N])cc1,suffix
2e,,CN(C)c2ccc(CCc1ccccc1N=N#N)cc2,CN(C)c1ccc(CCc2ccccc2[N])cc1,suffix
2f,,N#N=Nc1ccccc1CCc3ccc(c2ccccc2)cc3,[N]c1ccccc1CCc1ccc(-c2ccccc2)cc1,prefix
2g,,Cc2cccc(CCc1ccccc1N=N#N)c2,Cc1cccc(CCc2ccccc2[N])c1,suffix
2h,,COc2cccc(CCc1ccccc1N=N#N)c2,COc1cccc(CCc2ccccc2[N])c1,suffix
2i,,N#N=Nc1ccccc1CCc2cccc(F)c2,[N]c1ccccc1CCc1cccc(F)c1,prefix
2j,,N#N=Nc1ccccc1CCc2cccc(Br)c2,[N]c1ccccc1CCc1cccc(Br)c1,prefix
2k,,Cc1ccccc1CCc2ccccc2N=N#N,Cc1ccccc1CCc1ccccc1[N],suffix
2l,,N#N=Nc1ccccc1CCc2ccccc2Cl,[N]c1ccccc1CCc1ccccc1Cl,prefix
2m,,N#N=Nc1ccccc1CCc3ccc2ccccc2c3,[N]c1ccccc1CCc1ccc2ccccc2c1,prefix
2n,,N#N=Nc1ccccc1CCc2ccco2,[N]c1ccccc1CCc1ccco1,prefix
2o,,N#N=Nc1ccccc1CCc3cc2ccccc2o3,[N]c1ccccc1CCc1cc2ccccc2o1,prefix
2p,,N#N=Nc1ccccc1CCc2cccs2,[N]c1ccccc1CCc1cccs1,prefix
2q,,N#N=Nc1ccccc1CCc3cc2ccccc2s3,[N]c1ccccc1CCc1cc2ccccc2s1,prefix
2r,,Cc2cccc(CCc1ccccc1)c2N=N#N,Cc1cccc(CCc2ccccc2)c1[N],suffix
2s,,Cc2ccc(CCc1ccccc1)c(N=N#N)c2,Cc1ccc(CCc2ccccc2)c([N])c1,suffix
2t,,Cc1cccc(N=N#N)c1CCc2ccccc2,Cc1cccc([N])c1CCc1ccccc1,suffix
2u,,Cc2ccc(N=N#N)c(CCc1ccccc1)c2,Cc1ccc([N])c(CCc2ccccc2)c1,suffix
2v,,CC(C)(C)c2ccc(N=N#N)c(CCc1ccccc1)c2,CC(C)(C)c1ccc([N])c(CCc2ccccc2)c1,suffix
2w,,COc2ccc(N=N#N)c(CCc1ccccc1)c2,COc1ccc([N])c(CCc2ccccc2)c1,suffix
2x,,N#N=Nc1ccc(C(F)(F)F)cc1CCc2ccccc2,[N]c1ccc(C(F)(F)F)cc1CCc1ccccc1,prefix
2y,,CC(=O)c2ccc(N=N#N)c(CCc1ccccc1)c2,CC(=O)c1ccc([N])c(CCc2ccccc2)c1,suffix
2z,,Cc2cc(C)c(N=N#N)c(CCc1ccccc1)c2,Cc1cc(C)c([N])c(CCc2ccccc2)c1,suffix
4a,,CCCc1ccccc1N=N#N,CCCc1ccccc1[N],suffix
4b,,CCCCc1ccccc1N=N#N,CCCCc1ccccc1[N],suffix
4c,,N#N=Nc1ccccc1CCC2CC2,[N]c1ccccc1CCC1CC1,prefix
4d,,CC(CCc1ccccc1N=N#N)c2ccccc2,CC(CCc1ccccc1[N])c1ccccc1,suffix
4e,,CC(C)(C)OC(=O)C2(c1ccccc1N=N#N)CCCCC2,CC(C)(C)OC(=O)C1(c2ccccc2[N])CCCCC1,suffix
6a,,N#N=NS(=O)(=O)c1ccccc1Cc2ccccc2,[N]S(=O)(=O)c1ccccc1Cc1ccccc1,prefix
6b,,Cc2ccc(Cc1ccccc1S(=O)(=O)N=N#N)cc2,Cc1ccc(Cc2ccccc2S([N])(=O)=O)cc1,suffix
6c,,COc2ccc(Cc1ccccc1S(=O)(=O)N=N#N)cc2,COc1ccc(Cc2ccccc2S([N])(=O)=O)cc1,suffix
6d,,CC(C)(C)c2ccc(Cc1ccccc1S(=O)(=O)N=N#N)cc2,CC(C)(C)c1ccc(Cc2ccccc2S([N])(=O)=O)cc1,suffix
6e,,N#N=NS(=O)(=O)c1ccccc1Cc2ccc(Cl)cc2,[N]S(=O)(=O)c1ccccc1Cc1ccc(Cl)cc1,prefix
6f,,N#N=NS(=O)(=O)c1ccccc1Cc2ccc(F)cc2,[N]S(=O)(=O)c1ccccc1Cc1ccc(F)cc1,prefix
6g,,Cc2cccc(Cc1ccccc1S(=O)(=O)N=N#N)c2,Cc1cccc(Cc2ccccc2S([N])(=O)=O)c1,suffix
6h,,Cc1ccccc1Cc2ccccc2S(=O)(=O)N=N#N,Cc1ccccc1Cc1ccccc1S([N])(=O)=O,suffix
6i,,Cc2ccc(S(=O)(=O)N=N#N)c(Cc1ccccc1)c2,Cc1ccc(S([N])(=O)=O)c(Cc2ccccc2)c1,suffix
6j,,N#N=NS(=O)(=O)c1ccc(Cl)cc1Cc2ccccc2,[N]S(=O)(=O)c1ccc(Cl)cc1Cc1ccccc1,prefix
6k,,N#N=NS(=O)(=O)c1ccc(C(F)(F)F)cc1Cc2ccccc2,[N]S(=O)(=O)c1ccc(C(F)(F)F)cc1Cc1ccccc1,prefix
6l,,N#N=NS(=O)(=O)c2cc1ccccc1cc2Cc3ccccc3,[N]S(=O)(=O)c1cc2ccccc2cc1Cc1ccccc1,prefix
6m,,CCc1ccccc1S(=O)(=O)N=N#N,CCc1ccccc1S([N])(=O)=O,suffix
6n,,N#N=NS(=O)(=O)c1ccccc1CCc2ccccc2,[N]S(=O)(=O)c1ccccc1CCc1ccccc1,prefix
6o,,Cc2ccc(CCc1ccccc1S(=O)(=O)N=N#N)cc2,Cc1ccc(CCc2ccccc2S([N])(=O)=O)cc1,suffix
6p,,Cc2cccc(CCc1ccccc1S(=O)(=O)N=N#N)c2,Cc1cccc(CCc2ccccc2S([N])(=O)=O)c1,suffix
6q,,Cc1ccccc1CCc2ccccc2S(=O)(=O)N=N#N,Cc1ccccc1CCc1ccccc1S([N])(=O)=O,suffix
