dataset_name,unit,count,ids,definition_or_exclusions,source_artifact
p7_full_publication_ledger,substrate,41,"1a|1b|1c|1d|1e|1f|1g|1h|1i|1j|1k|1l|1m|1n|1o|1p|1q|1r|1s|1t|1u|1v|1w|1x|1y|1z|1aa|1ab|1ac|1ad|1ae|1af|1ag|1ah|1ai|1aj|1ak|1al|1am|1an|1ao",All retained P7 records,data/jacs_2025/stage2/curated-reaction-records.jsonl
p7_progression_input,substrate,39,"1a|1b|1c|1d|1e|1f|1g|1h|1i|1j|1k|1l|1m|1n|1o|1p|1q|1r|1s|1t|1u|1v|1w|1x|1y|1aa|1ab|1ac|1ae|1af|1ag|1ah|1ai|1aj|1ak|1al|1am|1an|1ao",Excludes 1z and 1ad locked audit records,data/jacs_2025/scope_progression/scope-progression-manifest.json
p7_progression_ee,substrate,38,"1a|1b|1c|1d|1e|1f|1g|1h|1i|1j|1k|1l|1m|1n|1o|1p|1q|1r|1s|1t|1u|1v|1w|1x|1y|1aa|1ab|1ac|1ae|1af|1ag|1ah|1ai|1aj|1ak|1al|1am|1ao",Excludes 1z, 1ad, and achiral/not-applicable 1an,data/jacs_2025/scope_progression/scope-progression-manifest.json
p7_progression_yield,substrate,39,"1a|1b|1c|1d|1e|1f|1g|1h|1i|1j|1k|1l|1m|1n|1o|1p|1q|1r|1s|1t|1u|1v|1w|1x|1y|1aa|1ab|1ac|1ae|1af|1ag|1ah|1ai|1aj|1ak|1al|1am|1an|1ao",Excludes 1z and 1ad; 1an has yield but no usable ee,data/jacs_2025/scope_progression/scope-progression-manifest.json
p7_matched_38_benchmark,substrate,38,"1a|1b|1c|1d|1e|1f|1g|1h|1i|1j|1k|1l|1m|1n|1o|1p|1q|1r|1s|1t|1u|1v|1w|1x|1y|1aa|1ab|1ac|1ae|1af|1ag|1ah|1ai|1aj|1ak|1al|1am|1ao",Exact structure-only target-holdout cohort,data/jacs_2025/stage2/reports/full-scope-structure-splits.json
cmcpor_full_publication_ledger,substrate,50,"2aa|2ab|2ac|2b|2c|2d|2e|2f|2g|2h|2i|2j|2k|2l|2m|2n|2o|2p|2q|2r|2s|2t|2u|2v|2w|2x|2y|2z|4a|4b|4c|4d|4e|6a|6b|6c|6d|6e|6f|6g|6h|6i|6j|6k|6l|6m|6n|6o|6p|6q",All retained CMC-Por records,data/expansion/catalyst_rerun/cmcpor/stage2-records.jsonl
cmcpor_aryl_primary,substrate,33,"2aa|2ab|2ac|2b|2c|2d|2e|2f|2g|2h|2i|2j|2k|2l|2m|2n|2o|2p|2q|2r|2s|2t|2u|2v|2w|2x|2y|2z|4a|4b|4c|4d|4e",Primary aryl pathway; excludes 17 sulfonyl controls,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json
cmcpor_aryl_active,substrate,26,"2aa|2ab|2ac|2b|2c|2d|2e|2f|2g|2h|2i|2j|2k|2l|2m|2n|2o|2p|2q|2r|2s|2t|2u|2v|2w|2x",Excludes locked audit records 2y, 2z, 4a, 4b, 4c, 4d, and 4e,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json
cmcpor_sulfonyl_control,substrate,17,"6a|6b|6c|6d|6e|6f|6g|6h|6i|6j|6k|6l|6m|6n|6o|6p|6q",Separate pathway control; not pooled with aryl analyses,data/expansion/pptl/publication-ledger-lock.json
canonical_shared_pairs,pair,13,"1ah<->4b|1d<->2d|1k<->2w|1j<->2u|1i<->2r|1c<->2g|1b<->2k|1aj<->4c|1p<->2o|1w<->2q|1g<->2c|1n<->2m|1f<->2i",Atom maps removed before canonical matching; paired diagnostics only,data/expansion/pptl/publication-ledger-lock.json
