paper_substrate_id,nitrene_smiles,reported_atom_map_id,reported_site_type,reported_hydrogen_count,candidate_atom_map_ids,assignment_status
2aa,C=CCCc1ccccc1[N],3,aliphatic,2,"1,2,3,4,6,7,8,9",derived_from_csv_product
2ab,C=C(C)CCc1ccccc1[N],4,aliphatic,2,"1,3,4,5,7,8,9,10",derived_from_csv_product
2ac,[N]c1ccccc1CCC#Cc1ccccc1,11,aliphatic,2,"5,6,7,8,10,11,15,16,17,18,19",derived_from_csv_product
2b,Cc1ccc(CCc2ccccc2[N])cc1,6,benzylic,2,"1,3,4,6,7,9,10,11,12,17,18",derived_from_csv_product
2c,[N]c1ccccc1CCc1ccc(F)cc1,11,benzylic,2,"5,6,7,8,10,11,13,14,17,18",derived_from_starting_product_repair
2d,COc1ccc(CCc2ccccc2[N])cc1,7,benzylic,2,"1,4,5,7,8,10,11,12,13,18,19",derived_from_csv_product
2e,CN(C)c1ccc(CCc2ccccc2[N])cc1,8,benzylic,2,"1,3,5,6,8,9,11,12,13,14,19,20",derived_from_starting_product_repair
2f,[N]c1ccccc1CCc1ccc(-c2ccccc2)cc1,11,benzylic,2,"5,6,7,8,10,11,13,14,17,18,19,20,21,22,23",derived_from_csv_product
2g,Cc1cccc(CCc2ccccc2[N])c1,7,benzylic,2,"1,3,4,5,7,8,10,11,12,13,18",derived_from_csv_product
2h,COc1cccc(CCc2ccccc2[N])c1,8,benzylic,2,"1,4,5,6,8,9,11,12,13,14,19",derived_from_csv_product
2i,[N]c1ccccc1CCc1cccc(F)c1,11,benzylic,2,"5,6,7,8,10,11,13,14,15,18",derived_from_csv_product
2j,[N]c1ccccc1CCc1cccc(Br)c1,11,benzylic,2,"5,6,7,8,10,11,13,14,15,18",derived_from_csv_product
2k,Cc1ccccc1CCc1ccccc1[N],8,benzylic,2,"1,3,4,5,6,8,9,11,12,13,14",derived_from_starting_product_repair
2l,[N]c1ccccc1CCc1ccccc1Cl,11,benzylic,2,"5,6,7,8,10,11,13,14,15,16",derived_from_starting_product_repair
2m,[N]c1ccccc1CCc1ccc2ccccc2c1,11,benzylic,2,"5,6,7,8,10,11,13,14,16,17,18,19,21",derived_from_csv_product
2n,[N]c1ccccc1CCc1ccco1,11,benzylic,2,"5,6,7,8,10,11,13,14,15",derived_from_csv_product
2o,[N]c1ccccc1CCc1cc2ccccc2o1,11,benzylic,2,"5,6,7,8,10,11,13,15,16,17,18",derived_from_csv_product
2p,[N]c1ccccc1CCc1cccs1,11,benzylic,2,"5,6,7,8,10,11,13,14,15",derived_from_csv_product
2q,[N]c1ccccc1CCc1cc2ccccc2s1,11,benzylic,2,"5,6,7,8,10,11,13,15,16,17,18",derived_from_csv_product
2r,Cc1cccc(CCc2ccccc2)c1[N],8,benzylic,2,"1,3,4,5,7,8,10,11,12,13,14",derived_from_csv_product
2s,Cc1ccc(CCc2ccccc2)c([N])c1,7,benzylic,2,"1,3,4,6,7,9,10,11,12,13,18",derived_from_csv_product
2t,Cc1cccc([N])c1CCc1ccccc1,12,benzylic,2,"1,3,4,5,11,12,14,15,16,17,18",derived_from_csv_product
2u,Cc1ccc([N])c(CCc2ccccc2)c1,11,benzylic,2,"1,3,4,10,11,13,14,15,16,17,18",derived_from_csv_product
2v,CC(C)(C)c1ccc([N])c(CCc2ccccc2)c1,14,benzylic,2,"1,3,4,6,7,13,14,16,17,18,19,20,21",derived_from_csv_product
2w,COc1ccc([N])c(CCc2ccccc2)c1,12,benzylic,2,"1,4,5,11,12,14,15,16,17,18,19",derived_from_csv_product
2x,[N]c1ccc(C(F)(F)F)cc1CCc1ccccc1,15,benzylic,2,"5,6,12,14,15,17,18,19,20,21",derived_from_csv_product
2y,CC(=O)c1ccc([N])c(CCc2ccccc2)c1,13,benzylic,2,"1,5,6,12,13,15,16,17,18,19,20",derived_from_csv_product
2z,Cc1cc(C)c([N])c(CCc2ccccc2)c1,12,benzylic,2,"1,3,5,11,12,14,15,16,17,18,19",derived_from_csv_product
4a,CCCc1ccccc1[N],2,aliphatic,2,"1,2,3,5,6,7,8",derived_from_csv_product
4b,CCCCc1ccccc1[N],3,aliphatic,2,"1,2,3,4,6,7,8,9",derived_from_csv_product
4c,[N]c1ccccc1CCC1CC1,11,aliphatic,2,"5,6,7,8,10,11,12,13,14",derived_from_starting_product_repair
4d,CC(CCc1ccccc1[N])c1ccccc1,2,benzylic,1,"1,2,3,4,6,7,8,9,15,16,17,18,19",derived_from_csv_product
4e,CC(C)(C)OC(=O)C1(c2ccccc2[N])CCCCC1,18,cycloalkyl,2,"1,3,4,10,11,12,13,18,19,20,21,22",derived_from_csv_product
6a,[N]S(=O)(=O)c1ccccc1Cc1ccccc1,13,benzylic,2,"8,9,10,11,13,15,16,17,18,19",derived_from_csv_product
6b,Cc1ccc(Cc2ccccc2S([N])(=O)=O)cc1,6,benzylic,2,"1,3,4,6,8,9,10,11,19,20",derived_from_starting_product_repair
6c,COc1ccc(Cc2ccccc2S([N])(=O)=O)cc1,7,benzylic,2,"1,4,5,7,9,10,11,12,20,21",derived_from_csv_product
6d,CC(C)(C)c1ccc(Cc2ccccc2S([N])(=O)=O)cc1,9,benzylic,2,"1,3,4,6,7,9,11,12,13,14,22,23",derived_from_csv_product
6e,[N]S(=O)(=O)c1ccccc1Cc1ccc(Cl)cc1,13,benzylic,2,"8,9,10,11,13,15,16,19,20",derived_from_csv_product
6f,[N]S(=O)(=O)c1ccccc1Cc1ccc(F)cc1,13,benzylic,2,"8,9,10,11,13,15,16,19,20",derived_from_csv_product
6g,Cc1cccc(Cc2ccccc2S([N])(=O)=O)c1,7,benzylic,2,"1,3,4,5,7,9,10,11,12,20",derived_from_starting_product_repair
