manual_row,source_entry_raw,substrate_id,product_id,azide_smiles,nitrene_smiles,azide_position,removed_species,retained_atom,intermediate_scope,validation_status
1,2a,1a,2a,N#N=Nc1ccccc1CCc2ccccc2,[N]c1ccccc1CCc2ccccc2,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
2,2b,1b,2b,Cc1ccccc1CCc2ccccc2N=N#N,Cc1ccccc1CCc2ccccc2[N],suffix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
3,2c,1c,2c,Cc2cccc(CCc1ccccc1N=N#N)c2,Cc2cccc(CCc1ccccc1[N])c2,suffix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
4,Numbers auto-coerced entry label,1d,2d,COc2ccc(CCc1ccccc1N=N#N)cc2,COc2ccc(CCc1ccccc1[N])cc2,suffix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
5,2e,1e,2e,N#N=Nc1ccccc1CCc2ccc(C(F)(F)F)cc2,[N]c1ccccc1CCc2ccc(C(F)(F)F)cc2,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
6,2f,1f,2f,N#N=Nc1ccccc1CCc2cccc(F)c2,[N]c1ccccc1CCc2cccc(F)c2,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
7,2g,1g,2g,N#N=Nc1ccccc1CCc2ccc(F)cc2,[N]c1ccccc1CCc2ccc(F)cc2,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
8,Numbers auto-coerced entry label,1h,2h,N#N=Nc1ccccc1CCc2ccc(Cl)cc2,[N]c1ccccc1CCc2ccc(Cl)cc2,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
9,2i,1i,2i,Cc2cccc(CCc1ccccc1)c2N=N#N,Cc2cccc(CCc1ccccc1)c2[N],suffix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
10,2j,1j,2j,Cc2ccc(N=N#N)c(CCc1ccccc1)c2,Cc2ccc([N])c(CCc1ccccc1)c2,suffix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
11,K,1k,2k,COc2ccc(N=N#N)c(CCc1ccccc1)c2,COc2ccc([N])c(CCc1ccccc1)c2,suffix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
12,L,1l,2l,N#N=Nc1cc(C(F)(F)F)ccc1CCc2ccccc2,[N]c1cc(C(F)(F)F)ccc1CCc2ccccc2,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
13,M,1m,2m,N#N=Nc1ccc(F)cc1CCc2ccccc2,[N]c1ccc(F)cc1CCc2ccccc2,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
14,n,1n,2n,N#N=Nc1ccccc1CCc3ccc2ccccc2c3,[N]c1ccccc1CCc3ccc2ccccc2c3,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
