domain,catalyst_id,pathway,substrate_id,product_id,starting_azide_smiles,starting_azide_smiles_canonical,starting_nitrene_smiles,product_smiles_recorded,product_smiles_canonical,product_smiles_status,ee_percent,yield_percent,reported_reactive_site,source_location,canonical_overlap_group,paired_substrate_id
P7,fe-p7-cl,diaryl-ethyl-parent,1a,2a,N#N=Nc1ccccc1CCc2ccccc2,[N-]=[N+]=Nc1ccccc1CCc1ccccc1,[N]c1ccccc1CCc2ccccc2,[NH:3]1[c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[CH2:10][C@H:11]1[c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,c1ccc([C@@H]2Cc3ccccc3N2)cc1,recorded,92,97,1a-c11-benzylic,Main paper p. 24004 Table 1 entry 1,,
P7,fe-p7-cl,diaryl-ethyl-aryl-substituted,1b,2b,Cc1ccccc1CCc2ccccc2N=N#N,Cc1ccccc1CCc1ccccc1N=[N+]=[N-],Cc1ccccc1CCc2ccccc2[N],,,missing_in_curated_record,80,99,1b-c8-benzylic,Main paper p. 24004 Table 1 entry 2,Cc1ccccc1CCc1ccccc1N=[N+]=[N-],2k
P7,fe-p7-cl,diaryl-ethyl-aryl-substituted,1c,2c,Cc2cccc(CCc1ccccc1N=N#N)c2,Cc1cccc(CCc2ccccc2N=[N+]=[N-])c1,Cc2cccc(CCc1ccccc1[N])c2,,,missing_in_curated_record,92,72,1c-c7-benzylic,Main paper p. 24004 Table 1 entry 3,Cc1cccc(CCc2ccccc2N=[N+]=[N-])c1,2g
P7,fe-p7-cl,diaryl-ethyl-aryl-substituted,1d,2d,COc2ccc(CCc1ccccc1N=N#N)cc2,COc1ccc(CCc2ccccc2N=[N+]=[N-])cc1,COc2ccc(CCc1ccccc1[N])cc2,,,missing_in_curated_record,90,99,1d-c7-benzylic,Main paper p. 24004 Table 1 entry 4,COc1ccc(CCc2ccccc2N=[N+]=[N-])cc1,2d
P7,fe-p7-cl,diaryl-ethyl-aryl-substituted,1e,2e,N#N=Nc1ccccc1CCc2ccc(C(F)(F)F)cc2,[N-]=[N+]=Nc1ccccc1CCc1ccc(C(F)(F)F)cc1,[N]c1ccccc1CCc2ccc(C(F)(F)F)cc2,[NH:3]1[c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[CH2:10][C@H:11]1[c:12]1[cH:13][cH:14][c:15]([C:18]([F:19])([F:20])[F:21])[cH:16][cH:17]1,FC(F)(F)c1ccc([C@@H]2Cc3ccccc3N2)cc1,recorded,92,95,1e-c11-benzylic,Main paper p. 24004 Table 1 entry 5,,
P7,fe-p7-cl,diaryl-ethyl-aryl-substituted,1f,2f,N#N=Nc1ccccc1CCc2cccc(F)c2,[N-]=[N+]=Nc1ccccc1CCc1cccc(F)c1,[N]c1ccccc1CCc2cccc(F)c2,,,missing_in_curated_record,90,82,1f-c11-benzylic,Main paper p. 24004 Table 1 entry 6,[N-]=[N+]=Nc1ccccc1CCc1cccc(F)c1,2i
P7,fe-p7-cl,diaryl-ethyl-aryl-substituted,1g,2g,N#N=Nc1ccccc1CCc2ccc(F)cc2,[N-]=[N+]=Nc1ccccc1CCc1ccc(F)cc1,[N]c1ccccc1CCc2ccc(F)cc2,,,missing_in_curated_record,90,92,1g-c11-benzylic,Main paper p. 24004 Table 1 entry 7,[N-]=[N+]=Nc1ccccc1CCc1ccc(F)cc1,2c
P7,fe-p7-cl,diaryl-ethyl-aryl-substituted,1h,2h,N#N=Nc1ccccc1CCc2ccc(Cl)cc2,[N-]=[N+]=Nc1ccccc1CCc1ccc(Cl)cc1,[N]c1ccccc1CCc2ccc(Cl)cc2,,,missing_in_curated_record,90,95,1h-c11-benzylic,Main paper p. 24004 Table 1 entry 8,,
P7,fe-p7-cl,diaryl-ethyl-aryl-substituted,1i,2i,Cc2cccc(CCc1ccccc1)c2N=N#N,Cc1cccc(CCc2ccccc2)c1N=[N+]=[N-],Cc2cccc(CCc1ccccc1)c2[N],,,missing_in_curated_record,73,93,1i-c8-benzylic,Main paper p. 24004 Table 1 entry 9,Cc1cccc(CCc2ccccc2)c1N=[N+]=[N-],2r
P7,fe-p7-cl,diaryl-ethyl-aryl-substituted,1j,2j,Cc2ccc(N=N#N)c(CCc1ccccc1)c2,Cc1ccc(N=[N+]=[N-])c(CCc2ccccc2)c1,Cc2ccc([N])c(CCc1ccccc1)c2,[NH:3]1[c:4]2[cH:5][cH:6][c:7]([CH3:18])[cH:8][c:9]2[CH2:10][C@H:11]1[c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,Cc1ccc2c(c1)C[C@@H](c1ccccc1)N2,recorded,95,90,1j-c11-benzylic,Main paper p. 24004 Table 1 entry 10,Cc1ccc(N=[N+]=[N-])c(CCc2ccccc2)c1,2u
