substrate_id,family_id,pathway_id,atom_map_id,site_id,site_type,is_target_site,rule_estimated_bde,rule_bde_class,reference_xtb_bde,xtb_within_substrate_rank,rule_bde_confidence
1a,diaryl-ethyl-parent,aryl,10,1a-c10-benzylic,benzylic,False,85.0,very_low,112.98061597162733,2,high
1a,diaryl-ethyl-parent,aryl,11,1a-c11-benzylic,benzylic,True,85.0,very_low,110.97072741227629,1,high
1b,diaryl-ethyl-aryl-substituted,aryl,1,1b-c1-benzylic,benzylic,False,85.0,very_low,113.74427969903465,3,high
1b,diaryl-ethyl-aryl-substituted,aryl,8,1b-c8-benzylic,benzylic,True,85.0,very_low,111.18328212449222,1,high
1b,diaryl-ethyl-aryl-substituted,aryl,9,1b-c9-benzylic,benzylic,False,85.0,very_low,111.92515852718284,2,high
1c,diaryl-ethyl-aryl-substituted,aryl,1,1c-c1-benzylic,benzylic,False,85.0,very_low,113.94660464513125,3,high
1c,diaryl-ethyl-aryl-substituted,aryl,7,1c-c7-benzylic,benzylic,True,85.0,very_low,110.3465136136396,2,high
1c,diaryl-ethyl-aryl-substituted,aryl,8,1c-c8-benzylic,benzylic,False,85.0,very_low,108.65603863407273,1,high
1d,diaryl-ethyl-aryl-substituted,aryl,7,1d-c7-benzylic,benzylic,True,85.0,very_low,110.69436256121926,2,high
1d,diaryl-ethyl-aryl-substituted,aryl,8,1d-c8-benzylic,benzylic,False,85.0,very_low,109.93959800123112,1,high
1e,diaryl-ethyl-aryl-substituted,aryl,10,1e-c10-benzylic,benzylic,False,85.0,very_low,109.52328336931222,1,high
1e,diaryl-ethyl-aryl-substituted,aryl,11,1e-c11-benzylic,benzylic,True,85.0,very_low,110.46471213086618,2,high
1f,diaryl-ethyl-aryl-substituted,aryl,10,1f-c10-benzylic,benzylic,False,85.0,very_low,113.04192321174334,2,high
1f,diaryl-ethyl-aryl-substituted,aryl,11,1f-c11-benzylic,benzylic,True,85.0,very_low,111.23893898943543,1,high
1g,diaryl-ethyl-aryl-substituted,aryl,10,1g-c10-benzylic,benzylic,False,85.0,very_low,113.07153614373722,2,high
1g,diaryl-ethyl-aryl-substituted,aryl,11,1g-c11-benzylic,benzylic,True,85.0,very_low,111.23686922097271,1,high
