domain,target,feature_set,route,model,final_n_labeled,final_prefix_mae,auc_mae,n90,reference_baseline_mae,final_mae_delta_vs_reference,source_manifest,source_summary
P7,ee_percent,rdkit_morgan_stage2p,diversity_first,elastic_net,37,4.453716228707975,343.0441343445141,4,13.238227146814404,-8.78451091810643,data/jacs_2025/scope_progression/scope-progression-manifest.json,data/jacs_2025/scope_progression/learning-curve-summary.csv
P7,ee_percent,rdkit_morgan_stage2p,diversity_first,ridge,37,3.7721052418067984,391.6617398994564,24,13.238227146814404,-9.466121905007606,data/jacs_2025/scope_progression/scope-progression-manifest.json,data/jacs_2025/scope_progression/learning-curve-summary.csv
P7,ee_percent,rdkit_morgan_stage2p,diversity_first,tanimoto_knn,37,1.214503416882593,368.2841788702248,19,13.238227146814404,-12.023723729931811,data/jacs_2025/scope_progression/scope-progression-manifest.json,data/jacs_2025/scope_progression/learning-curve-summary.csv
P7,ee_percent,rdkit_morgan_stage2p,historical_order,elastic_net,37,8.838039981697932,741.1524230126039,,13.238227146814404,-4.400187165116472,data/jacs_2025/scope_progression/scope-progression-manifest.json,data/jacs_2025/scope_progression/learning-curve-summary.csv
P7,ee_percent,rdkit_morgan_stage2p,historical_order,ridge,37,9.719410236666064,757.661537550018,,13.238227146814404,-3.51881691014834,data/jacs_2025/scope_progression/scope-progression-manifest.json,data/jacs_2025/scope_progression/learning-curve-summary.csv
P7,ee_percent,rdkit_morgan_stage2p,historical_order,tanimoto_knn,37,3.968963739041868,601.0438294576555,37,13.238227146814404,-9.269263407772536,data/jacs_2025/scope_progression/scope-progression-manifest.json,data/jacs_2025/scope_progression/learning-curve-summary.csv
P7,ee_percent,rdkit_morgan_stage2p,performance_first,elastic_net,37,16.511123680299235,403.78144002422107,,13.238227146814404,3.272896533484831,data/jacs_2025/scope_progression/scope-progression-manifest.json,data/jacs_2025/scope_progression/learning-curve-summary.csv
P7,ee_percent,rdkit_morgan_stage2p,performance_first,ridge,37,18.22392906726015,403.09283268725056,7,13.238227146814404,4.985701920445747,data/jacs_2025/scope_progression/scope-progression-manifest.json,data/jacs_2025/scope_progression/learning-curve-summary.csv
P7,ee_percent,rdkit_morgan_stage2p,performance_first,tanimoto_knn,37,27.542678076584494,525.1311740671293,,13.238227146814404,14.30445092977009,data/jacs_2025/scope_progression/scope-progression-manifest.json,data/jacs_2025/scope_progression/learning-curve-summary.csv
P7,ee_percent,rdkit_morgan_stage2p,random,ridge,37,8.121798904086868,355.52727430692545,29,13.238227146814404,-5.116428242727537,data/jacs_2025/scope_progression/scope-progression-manifest.json,data/jacs_2025/scope_progression/learning-curve-summary.csv
P7,ee_percent,rdkit_morgan_stage2p,random,tanimoto_knn,37,8.344133501479462,337.4934653373166,27,13.238227146814404,-4.894093645334943,data/jacs_2025/scope_progression/scope-progression-manifest.json,data/jacs_2025/scope_progression/learning-curve-summary.csv
P7,ee_percent,rdkit_morgan_stage2p,uncertainty_diversity,elastic_net,37,4.453716228707975,325.1187283454952,16,13.238227146814404,-8.78451091810643,data/jacs_2025/scope_progression/scope-progression-manifest.json,data/jacs_2025/scope_progression/learning-curve-summary.csv
P7,ee_percent,rdkit_morgan_stage2p,uncertainty_diversity,ridge,37,3.7721053597313414,337.18099275521246,16,13.238227146814404,-9.466121787083063,data/jacs_2025/scope_progression/scope-progression-manifest.json,data/jacs_2025/scope_progression/learning-curve-summary.csv
