canonical_overlap_group,p7_substrate_id,cmcpor_substrate_id,p7_overlay_svg,cmcpor_overlay_svg,p7_overlay_sha256,cmcpor_overlay_sha256
CCCCc1ccccc1N=[N+]=[N-],1ah,4b,data/jacs_2025/stage2pp/svg/1ah.svg,data/expansion/catalyst_rerun/cmcpor_uff_full/stage2pp/svg/4b.svg,5120eb86b8e183d9b7b584f0a11e3d2183425251c39e1f0bd7c2a3cb75308901,9de079c2db7423353a3c792392b763fa8c79f8d1e703daeaeb2eb7b00371c9ae
COc1ccc(CCc2ccccc2N=[N+]=[N-])cc1,1d,2d,data/jacs_2025/stage2pp/svg/1d.svg,data/expansion/catalyst_rerun/cmcpor_uff_full/stage2pp/svg/2d.svg,469ce4f51366b049cd6797e7b6b3a4a5508435fa2e70bfa9db3fb7d74242b3df,e0fda91f62613756ecf1242b6714efe8d0160c2f7c042c4f117a35af4572d850
COc1ccc(N=[N+]=[N-])c(CCc2ccccc2)c1,1k,2w,data/jacs_2025/stage2pp/svg/1k.svg,data/expansion/catalyst_rerun/cmcpor_uff_full/stage2pp/svg/2w.svg,f5617853139ab3e6813ca7611fa32f6ff4aa2a50e52b130a3f28234bfccdc83c,17af07385162996c9f85fcf61edf636503893e004d8cdf8ac3043180a09ee976
Cc1ccc(N=[N+]=[N-])c(CCc2ccccc2)c1,1j,2u,data/jacs_2025/stage2pp/svg/1j.svg,data/expansion/catalyst_rerun/cmcpor_uff_full/stage2pp/svg/2u.svg,03c3655c02bc11d8aa9c2f79bb7277b28dc1d6abdaedee0ded09c5de46a56aa7,28090f932f81c1720ed6ba0edad7bd1b3d6b9f12a07a5a55430f3913e9d62c96
Cc1cccc(CCc2ccccc2)c1N=[N+]=[N-],1i,2r,data/jacs_2025/stage2pp/svg/1i.svg,data/expansion/catalyst_rerun/cmcpor_uff_full/stage2pp/svg/2r.svg,34352d14a49ac98f36b7332904e94453bfcafbfd0c85450d424922169e54a50f,0b5b874614af6a12dfbefa0f3b4ad73b1a35ecd5bc07f34191a2658c1b14cb36
Cc1cccc(CCc2ccccc2N=[N+]=[N-])c1,1c,2g,data/jacs_2025/stage2pp/svg/1c.svg,data/expansion/catalyst_rerun/cmcpor_uff_full/stage2pp/svg/2g.svg,41f30d8496f1ae805fc3f7f8f31ffeebf3182dfc739682ba873489be84c75111,7094d0fd60791a8b93dcff1728b4640123a1521117c9133ccd0c51c857a31421
Cc1ccccc1CCc1ccccc1N=[N+]=[N-],1b,2k,data/jacs_2025/stage2pp/svg/1b.svg,data/expansion/catalyst_rerun/cmcpor_uff_full/stage2pp/svg/2k.svg,1570bc670958745ac73d2ba6f771995e5787c67b64ba9f4bb7882e52235ca4dd,0843647e9ad3a3767f5b239462a8cc6ff4cd38a7594a2eaca1713d18f4c8a28b
[N-]=[N+]=Nc1ccccc1CCC1CC1,1aj,4c,data/jacs_2025/stage2pp/svg/1aj.svg,data/expansion/catalyst_rerun/cmcpor_uff_full/stage2pp/svg/4c.svg,2eb835a7103f1b86b8feb73f9b50c6177b826b8e76b6e44f2367b7d3da801638,cbb8ebc7beb22e6d63a692da0a12aebde87d27a52c43baa73db823627652682f
[N-]=[N+]=Nc1ccccc1CCc1cc2ccccc2o1,1p,2o,data/jacs_2025/stage2pp/svg/1p.svg,data/expansion/catalyst_rerun/cmcpor_uff_full/stage2pp/svg/2o.svg,b0a2cd83669baaccb92f3fa4c17469201b1b6ed61b3509734aab436af21c1045,5b37722c3ac351e246ef3739494d5c522d0139e670041251807c9a9bfd9cc8f5
[N-]=[N+]=Nc1ccccc1CCc1cc2ccccc2s1,1w,2q,data/jacs_2025/stage2pp/svg/1w.svg,data/expansion/catalyst_rerun/cmcpor_uff_full/stage2pp/svg/2q.svg,d73627f9195e614746a61bf0fe3f4e0134675664c6e7b2980b16368a14cba12b,c5c5367a8c628ade2c3b78a17193390e41f290013ec1bd27e6bb13440d927465
[N-]=[N+]=Nc1ccccc1CCc1ccc(F)cc1,1g,2c,data/jacs_2025/stage2pp/svg/1g.svg,data/expansion/catalyst_rerun/cmcpor_uff_full/stage2pp/svg/2c.svg,406f693c156c736cc8ace53400af0dc810a473876bd3d1ff46f11730b85dcfd8,7d2d09e2f3119f672c9ebb1cfa5bf599a2fc50cd396c7b0087890c131188e75b
[N-]=[N+]=Nc1ccccc1CCc1ccc2ccccc2c1,1n,2m,data/jacs_2025/stage2pp/svg/1n.svg,data/expansion/catalyst_rerun/cmcpor_uff_full/stage2pp/svg/2m.svg,6377e1fc479cb965ba8025041db45ebe694b99f6bf9fb3cab27230caa317baec,2b9425aa4b74016b72dbe8814c870915e249af9b5940ea2b64f2097c5e45f8a4
[N-]=[N+]=Nc1ccccc1CCc1cccc(F)c1,1f,2i,data/jacs_2025/stage2pp/svg/1f.svg,data/expansion/catalyst_rerun/cmcpor_uff_full/stage2pp/svg/2i.svg,ffd22a16ebe85cd10ca3b17bce2fb07b82753d403c2b36bb5a778414a05e5dcb,73e33328902a3aebba44f89eb9cfc3f4ac0bb71515c9aab455133edfeb714ee2
