feature_arm,family,feature_definition,feature_count,direction,source_domain,target_domain,target_records_available,scored_prefix_count,excluded_canonical_overlap_count,target_only_mae_ee_points,target_only_auc_mae,guarded_mae_ee_points,target_only_delta_vs_previous_ee_points,target_only_improvement_vs_B1_percent,guarded_delta_vs_target_only_ee_points,source_artifact
B1,RDKit descriptors,Six chemist-readable RDKit descriptors,6,cmcpor_to_p7_aryl,cmcpor-fecl,fe-p7-cl,40,37,13,12.894696118257428,470.7230665365928,12.802350329142925,,0.0,-0.09234578911450342,data/expansion/pptl/bidirectional-ee-2d-matrix.json
B2,RDKit descriptors,Fifteen RDKit descriptors,15,cmcpor_to_p7_aryl,cmcpor-fecl,fe-p7-cl,40,37,13,12.714387603724369,466.05448750986744,12.529223994607138,-0.18030851453305985,1.3983153451577925,-0.18516360911723062,data/expansion/pptl/bidirectional-ee-2d-matrix.json
B3,RDKit + Morgan,B2 + 128-bit radius-2 Morgan fingerprint,143,cmcpor_to_p7_aryl,cmcpor-fecl,fe-p7-cl,40,37,13,11.941464348016797,436.7531223175997,11.612239505541964,-0.7729232557075711,7.392432993368201,-0.32922484247483297,data/expansion/pptl/bidirectional-ee-2d-matrix.json
B4,RDKit + Morgan,B2 + 256-bit radius-2 Morgan fingerprint,271,cmcpor_to_p7_aryl,cmcpor-fecl,fe-p7-cl,40,37,13,12.165392036521489,435.5046862081811,11.963982907354863,0.22392768850469125,5.655845434801118,-0.2014091291666258,data/expansion/pptl/bidirectional-ee-2d-matrix.json
B5,RDKit + Morgan,"B2 + 1,024-bit radius-2 Morgan fingerprint",1039,cmcpor_to_p7_aryl,cmcpor-fecl,fe-p7-cl,40,37,13,11.815349181945432,424.29223796435537,11.65378368398854,-0.35004285457605633,8.370472063965611,-0.161565497956893,data/expansion/pptl/bidirectional-ee-2d-matrix.json
P0,pose-only,Stage 2p pose block,248,cmcpor_to_p7_aryl,cmcpor-fecl,fe-p7-cl,40,37,13,19.31665775972517,695.9477659933498,16.528040753274695,7.501308577779739,-49.80312511882287,-2.788617006450476,data/expansion/pptl/bidirectional-ee-pose-matrix.json
P1,RDKit + pose,B1 + Stage 2p pose block,254,cmcpor_to_p7_aryl,cmcpor-fecl,fe-p7-cl,40,37,13,19.35538416156305,697.2797907661152,16.42521047365231,0.038726401837880786,-50.103453265238414,-2.9301736879107416,data/expansion/pptl/bidirectional-ee-pose-matrix.json
P2,RDKit + Morgan + pose,B5 + raw Stage 2p pose block,1287,cmcpor_to_p7_aryl,cmcpor-fecl,fe-p7-cl,40,37,13,16.953282274482657,606.2095729778654,14.456915513723427,-2.402101887080395,-31.47484918608303,-2.49636676075923,data/expansion/pptl/bidirectional-ee-pose-matrix.json
P3,RDKit + Morgan + compact pose,B5 + compact C1 geometry block,1083,cmcpor_to_p7_aryl,cmcpor-fecl,fe-p7-cl,40,37,13,11.27581943294034,397.8093434978397,10.973149884711114,-5.677462841542317,12.554593535747948,-0.3026695482292254,data/expansion/pptl/matrix-ee-b5-p3-p4.json
P4,RDKit + Morgan + catalyst-aware pose,B5 + C1 geometry + 16-feature C2 catalyst interaction block,1099,cmcpor_to_p7_aryl,cmcpor-fecl,fe-p7-cl,40,37,13,11.06116958300058,390.61944025408667,10.741301225713725,-0.2146498499397591,14.21923028229244,-0.3198683572868557,data/expansion/pptl/matrix-ee-b5-p3-p4.json
B1,RDKit descriptors,Six chemist-readable RDKit descriptors,6,p7_to_cmcpor_aryl,fe-p7-cl,cmcpor-fecl,33,31,13,14.24301827649014,430.4233373126494,13.052987704037347,,0.0,-1.1900305724527929,data/expansion/pptl/bidirectional-ee-2d-matrix.json
B2,RDKit descriptors,Fifteen RDKit descriptors,15,p7_to_cmcpor_aryl,fe-p7-cl,cmcpor-fecl,33,31,13,14.099973511797844,426.0907594860303,12.955489600386166,-0.14304476469229677,1.004314969730888,-1.1444839114116778,data/expansion/pptl/bidirectional-ee-2d-matrix.json
B3,RDKit + Morgan,B2 + 128-bit radius-2 Morgan fingerprint,143,p7_to_cmcpor_aryl,fe-p7-cl,cmcpor-fecl,33,31,13,12.562631860710194,379.42869918806804,12.082518369494581,-1.5373416510876492,11.79796573422665,-0.4801134912156133,data/expansion/pptl/bidirectional-ee-2d-matrix.json
B4,RDKit + Morgan,B2 + 256-bit radius-2 Morgan fingerprint,271,p7_to_cmcpor_aryl,fe-p7-cl,cmcpor-fecl,33,31,13,12.577848567216213,378.16556279678304,11.780500826399702,0.015216706506018696,11.69112948498069,-0.7973477408165106,data/expansion/pptl/bidirectional-ee-2d-matrix.json
B5,RDKit + Morgan,"B2 + 1,024-bit radius-2 Morgan fingerprint",1039,p7_to_cmcpor_aryl,fe-p7-cl,cmcpor-fecl,33,31,13,12.233930728492268,372.4934479530975,11.701571019876303,-0.34391783872394477,14.105771045131066,-0.5323597086159655,data/expansion/pptl/bidirectional-ee-2d-matrix.json
P0,pose-only,Stage 2p pose block,248,p7_to_cmcpor_aryl,fe-p7-cl,cmcpor-fecl,33,31,13,18.326247381553802,551.2163327824012,15.578471127889125,6.092316653061534,-28.66828523139323,-2.747776253664677,data/expansion/pptl/bidirectional-ee-pose-matrix.json
P1,RDKit + pose,B1 + Stage 2p pose block,254,p7_to_cmcpor_aryl,fe-p7-cl,cmcpor-fecl,33,31,13,20.41152885497497,612.2264764611743,18.01500156199293,2.085281473421169,-43.30901258946441,-2.396527292982043,data/expansion/pptl/bidirectional-ee-pose-matrix.json
P2,RDKit + Morgan + pose,B5 + raw Stage 2p pose block,1287,p7_to_cmcpor_aryl,fe-p7-cl,cmcpor-fecl,33,31,13,17.659464679323474,533.866992295359,14.239076986007978,-2.7520641756514976,-23.986814708176006,-3.4203876933154955,data/expansion/pptl/bidirectional-ee-pose-matrix.json
P3,RDKit + Morgan + compact pose,B5 + compact C1 geometry block,1083,p7_to_cmcpor_aryl,fe-p7-cl,cmcpor-fecl,33,31,13,12.205326517111706,373.8011312220575,11.4802564031599,-5.454138162211768,14.306600748676257,-0.725070113951805,data/expansion/pptl/matrix-ee-b5-p3-p4.json
P4,RDKit + Morgan + catalyst-aware pose,B5 + C1 geometry + 16-feature C2 catalyst interaction block,1099,p7_to_cmcpor_aryl,fe-p7-cl,cmcpor-fecl,33,31,13,12.208276490408817,373.213753308336,11.509373356611247,0.002949973297111441,14.285889034067417,-0.69890313379757,data/expansion/pptl/matrix-ee-b5-p3-p4.json
